"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","N_naive_se","credible_proportion"
"1",1,10,6.6,36.84,0.25,16,3,7.59127866666667,1.29388600959254,-0.240872133333333,1.21402612017796,-0.0617209621423543,0.00572297401410284,0.78
"2",2,10,8.54,31.76,0.35,16,3,9.306968,1.51098607761471,-0.0693032,1.07536142085738,-0.288304877993989,0.00506930235276437,0.94
"3",3,10,9.64,26.88,0.45,16,3,10.3939102222222,0.686498036268977,0.039391022222222,1.08211607392316,0.576284296171213,0.00510114409268021,1
"4",4,10,9.88,21.92,0.55,16,3,10.5238862222222,0.409987159964371,0.0523886222222211,1.03489841522475,1.52422152760757,0.00487855791496423,1
"5",5,10,9.98,17.3,0.65,16,3,10.4136635555556,0.258121262828563,0.0413663555555557,0.915349993812429,2.54620143951635,0.00431500125189222,1
"6",6,25,15.82,70.86,0.25,16,3,16.7238586666667,3.45660018266094,-0.331045653333333,1.10193709462491,-0.681207823759175,0.00519458128033518,0.06
"7",7,25,21.66,63.44,0.35,16,3,22.3231662222222,2.42104894698422,-0.107073351111111,0.9270456485854,-0.617089258050659,0.00437013509722812,0.62
"8",8,25,23.96,53.84,0.45,16,3,24.464104,1.32481360783278,-0.0214358400000001,0.804362613013293,-0.392848466940853,0.00379180172129753,0.92
"9",9,25,24.32,44.38,0.55,16,3,24.6887213333333,0.902900757147736,-0.0124511466666666,0.655828933618588,-0.273642281915509,0.00309160724173364,0.96
"10",10,25,24.9,39.08,0.65,16,3,25.0568906666667,0.33314809074516,0.00227562666666688,0.424789344709356,0.275076629613034,0.0020024761747985,1
"11",11,50,33.84,96.54,0.25,16,3,34.8689408888889,5.13018584330532,-0.302621182222222,1.12840293568108,-0.780046382305313,0.0053193424515393,0
"12",12,50,42.74,89.38,0.35,16,3,43.5677226666667,4.69851242750064,-0.128645546666667,0.992764691951371,-0.788706594423234,0.00467993763867592,0.24
"13",13,50,47.16,81.78,0.45,16,3,47.7208502222222,3.18229080269407,-0.0455829955555555,0.768281437019517,-0.758575980432366,0.0036217134265083,0.66
"14",14,50,49.08,71.72,0.55,16,3,49.4582724444444,1.61202365620811,-0.0108345511111111,0.605190965256888,-0.624576870862768,0.00285289756963985,0.92
"15",15,50,49.88,64.22,0.65,16,3,50.0338213333333,0.454334174779524,0.000676426666666794,0.366474973063532,-0.19338012985404,0.0017275795905892,1
